doc_id,category,gold_label,gold_text,gold_start,gold_end,overlapping_fp_labels,overlapping_fp_texts
5193,omission,JOB,Geschäftsführer,137,152,,
5193,omission,LOC,Zug,93,96,,
5203,boundary,DATE,Anfang Juni 2024,339,355,DATE,Juni 2024
5203,omission,JOB,Export Managerin,54,70,,
5205,label,JOB,CFO,63,66,ORG,CFO
5205,label,NATION,deutsche,357,365,LOC,deutsche
5208,label,JOB,CFO,156,159,ORG,CFO
5208,label,JOB,CEO,121,124,ORG,CEO
5212,omission,JOB,Geschäftsführer,44,59,,
5217,label,JOB,CFO,146,149,ORG,CFO
5217,omission,JOB,CEO,118,121,,
5224,omission,JOB,Leiter Finanzen,49,64,,
5231,omission,JOB,Leiterin Einkauf,37,53,,
5231,omission,LOC,Zug,79,82,,
5231,label,JOB,CFO,388,391,ORG,CFO
5232,omission,JOB,Geschäftsführers,189,205,,
5237,omission,AGE,35-jähriger,205,216,,
5237,label,EDU,HSG-Absolvent,217,230,ORG,HSG
5237,omission,JOB,Verwaltungsratspräsidenten,73,99,,
5237,omission,JOB,CEO,269,272,,
5243,label,NATION,deutschen,286,295,LOC,deutschen
5243,label,NATION,österreichischen,265,281,LOC,österreichischen
5243,omission,JOB,Inhaberin,59,68,,
5245,boundary,ORG,Romandie Pharma SA,91,109,ORG|ORG,Romandie|Pharma SA
5245,label,JOB,Leiterin Treasury,65,82,PER,Treasury
5246,omission,AGE,58-jährig,311,320,,
5246,omission,JOB,Geschäftsführer,93,108,,
5246,omission,JOB,ETH-Ingenieur,419,432,,
5252,omission,JOB,CEO,29,32,,
5257,boundary,ORG,Seoul Heavy Industries Ltd.,222,249,ORG,Seoul Heavy Industries Ltd
5257,omission,JOB,Head of Export,4,18,,
5263,boundary,DATE,Ende 2024,132,141,DATE,2024
5263,omission,AGE,65-jährig,52,61,,
5264,omission,JOB,Head of Treasury,45,61,,
5264,boundary,ORG,Global Trade Solutions SA,66,91,ORG|ORG,SA|Global Trade Solutions
5266,boundary,ORG,East-West Trading Ltd.,314,336,ORG,East-West Trading Ltd
5266,omission,JOB,Trade Finance Specialist,45,69,,
5266,omission,DATE,morgen,381,387,,
5266,omission,LOC,Zug,104,107,,
5266,boundary,ORG,East-West Trading Ltd.,78,100,ORG,East-West Trading Ltd
5267,omission,JOB,Head of Corporate Development,62,91,,
5273,omission,JOB,CTO,374,377,,
5273,boundary,MONEY,EUR 75'000,302,312,MONEY,EUR 75'000.
5273,omission,JOB,Gründer und CEO,103,118,,
5274,omission,JOB,Leiterin Finanzen,60,77,,
5278,label,NATION,US-amerikanischen,117,134,LOC|LOC,US|amerikanischen
5278,omission,JOB,CFO,59,62,,
5278,omission,LOC,Zug,98,101,,
5284,boundary,MONEY,CHF 5 pro Aktie,341,356,MONEY,CHF 5
5284,omission,JOB,Leiter Finanzen,84,99,,
5284,omission,JOB,CEO,56,59,,
5286,omission,JOB,Geschäftsführer,252,267,,
5286,boundary,ORG,Logistik Express AG,57,76,ORG|ORG,Logistik|Express AG
5286,omission,JOB,CFO,49,52,,
5286,boundary,MONEY,CHF 800'000,161,172,MONEY,CHF 800'000.
5286,boundary,MONEY,CHF 25'000,307,317,MONEY,CHF 25'000.
5292,omission,JOB,Flottenmanager,19,33,,
5292,omission,JOB,CEO,221,224,,
