doc_id,category,gold_label,gold_text,gold_start,gold_end,overlapping_fp_labels,overlapping_fp_texts
5203,boundary,DATE,Anfang Juni 2024,339,355,DATE,Juni 2024
5203,boundary,ORG,Swiss Machinery Export SA,79,104,ORG,Swiss Machinery
5205,boundary,PER,Schmidt,340,347,PER,Frau Schmidt
5232,omission,ORG,Innovatec Solutions GmbH,42,66,,
5232,omission,JOB,Geschäftsführers,189,205,,
5237,omission,JOB,Verwaltungsratspräsidenten,73,99,,
5243,boundary,ORG,Modehaus Schneider GmbH,73,96,ORG,Schneider GmbH
5245,boundary,ORG,Romandie Pharma SA,91,109,ORG,SA
5246,boundary,PER,Bachmann,301,309,PER,Herr Bachmann
5246,label,ORG,Zuger Logistik GmbH,41,60,LOC,Zuger
5246,label,JOB,ETH-Ingenieur,419,432,ORG,ETH-Ingenieur
5257,boundary,ORG,Seoul Heavy Industries Ltd.,222,249,ORG,Seoul Heavy Industries Ltd
5257,omission,JOB,Head of Export,4,18,,
5263,boundary,DATE,Ende 2024,132,141,DATE,2024
5263,boundary,ORG,Vogel Transport GmbH,80,100,ORG,Vogel Transport
5264,label,JOB,Head of Treasury,45,61,ORG,Head of Treasury
5264,boundary,ORG,Global Trade Solutions SA,66,91,ORG,Global Trade Solutions
5266,boundary,ORG,East-West Trading Ltd.,314,336,ORG,East-West Trading Ltd.. Herr Li
5266,label,PER,Li,343,345,ORG,East-West Trading Ltd.. Herr Li
5266,label,JOB,Trade Finance Specialist,45,69,ORG,Trade Finance Specialist
5266,omission,DATE,morgen,381,387,,
5266,boundary,ORG,East-West Trading Ltd.,78,100,ORG,East-West Trading Ltd
5267,boundary,ORG,Innovate Software AG,216,236,ORG,Innovate Software
5267,label,JOB,Head of Corporate Development,62,91,ORG,Head of Corporate Development
5273,boundary,MONEY,EUR 75'000,302,312,MONEY,EUR 75'000.
5273,boundary,JOB,Gründer und CEO,103,118,JOB,CEO
5278,boundary,NATION,US-amerikanischen,117,134,NATION,amerikanischen
5284,boundary,MONEY,CHF 5 pro Aktie,341,356,MONEY,CHF 5
5286,boundary,MONEY,CHF 800'000,161,172,MONEY,CHF 800'000.
5286,boundary,MONEY,CHF 25'000,307,317,MONEY,CHF 25'000.
5292,omission,JOB,Flottenmanager,19,33,,
5293,label,EDU,Universität St. Gallen (HSG),442,470,ORG|ORG,HSG|Universität St. Gallen
5293,omission,PER,Fischer,379,386,,
5298,label,JOB,Head of Treasury,58,74,ORG,Head of Treasury
5298,boundary,ORG,Global Trade Solutions SA,83,108,ORG,Global Trade Solutions
5307,label,JOB,Head of Treasury,64,80,ORG,Head of Treasury
5307,boundary,ORG,Global Trade Solutions SA,89,114,ORG,Global Trade Solutions
5313,boundary,MONEY,CHF 200'000,349,360,MONEY,CHF 200'000.
5313,boundary,ORG,Future Mobility Solutions GmbH,163,193,ORG,Future Mobility Solutions
5314,boundary,JOB,ETH-Ingenieurin,250,265,JOB,Ingenieurin
5318,boundary,JOB,Leiter Forschung & Entwicklung,317,347,JOB,Leiter Forschung
5336,omission,JOB,Managing Partner,199,215,,
5336,label,JOB,Office Managerin,35,51,ORG,Office
5343,boundary,AGE,62 Jahre,381,389,AGE,62 Jahre alt
5343,label,JOB,ETH-Ingenieur,430,443,ORG,ETH-Ingenieur
5343,omission,PER,Fischer,372,379,,
5346,boundary,MONEY,USD 150'000,145,156,MONEY,USD 150'000.
5346,label,JOB,Head of Trade Finance,184,205,ORG,Head of Trade Finance
5346,omission,PER,Vogel,329,334,,
5351,label,JOB,Head of Treasury,61,77,ORG,Head of Treasury
5360,omission,JOB,Head of Treasury,54,70,,
5360,boundary,ORG,Global Trade Solutions GmbH,79,106,ORG,Global Trade Solutions
5360,omission,PER,Herzog,233,239,,
5368,boundary,PER,Keller,475,481,PER,Frau Keller
5370,omission,JOB,Logistikleiter,334,348,,
5374,omission,JOB,Liquidatorin,129,141,,
5387,boundary,ORG,Logistik Express SA,59,78,ORG,Express SA
5388,omission,JOB,Finanzchef,190,200,,
5388,boundary,ORG,Precision Watches Holding SA,45,73,ORG|ORG,Precision Watches Holding|SA
5389,boundary,JOB,Leiter Finanzen & Controlling,293,322,JOB,Leiter Finanzen
5393,boundary,ORG,Global Trade Solutions SA,82,107,ORG,Global Trade Solutions
5393,label,JOB,Head of Treasury,57,73,ORG,Head of Treasury
5393,omission,PER,Fischer,228,235,,
5403,boundary,JOB,dipl. Architektin ETH,245,266,JOB,Architektin
5407,label,EDU,HSG-Absolventin,203,218,ORG,HSG-Absolventin
5407,omission,PER,Keller,190,196,,
5412,omission,ORG,Logistik Solutions SA,59,80,,
5417,label,EDU,HSG-Absolventin,122,137,ORG,HSG-Absolventin
5421,omission,MONEY,15%,302,305,,
5422,omission,JOB,Finanzchefin,169,181,,
5422,boundary,PER,Berger,375,381,PER,Dr. Berger
5422,boundary,PER,Meier,391,396,PER,Frau Meier
5423,omission,PER,Bachmann,369,377,,
5423,boundary,ORG,Maschinenbau Schmid AG,256,278,ORG,Maschinenbau Schmid
5425,label,JOB,Group Treasurer,75,90,ORG,Group Treasurer
5428,boundary,LOC,USA,425,428,LOC,den USA
5428,boundary,ORG,Global Trade Solutions SA,89,114,ORG,Global Trade Solutions
5428,label,JOB,Head of Treasury,64,80,ORG,Head of Treasury
5430,boundary,PER,Stefan Keller,36,49,PER,Herrn Stefan Keller
5436,omission,PER,Graf,399,403,,
5437,boundary,ORG,Moser Baupartner GmbH,66,87,ORG,Moser Baupartner
5437,boundary,EDU,HSG,222,225,EDU,HSG-Absolvent
5440,omission,PER,Lehmann,353,360,,
5440,boundary,PER,John Davis,337,347,PER,Mr. John Davis
5440,label,EDU,ETH Zürich,96,106,ORG,ETH Zürich
5445,boundary,ORG,Global Pharma Services GmbH,74,101,ORG,Global Pharma Services
5445,label,JOB,Head of Treasury,49,65,ORG,Head of Treasury
5448,label,JOB,Head of Sales,263,276,ORG,Head of Sales
5448,label,JOB,Treasurer,44,53,ORG,Treasurer
5449,label,JOB,Legal Counsel,82,95,ORG,Legal Counsel
5461,label,JOB,Head of Finance,50,65,ORG,Head of Finance der Commodity Trading Partners AG
5461,boundary,ORG,Commodity Trading Partners AG,70,99,ORG,Head of Finance der Commodity Trading Partners AG
5463,boundary,ORG,Global Trade Solutions SA,75,100,ORG,Global Trade Solutions
5463,label,JOB,Head of Treasury,50,66,ORG,Head of Treasury
5466,omission,JOB,Head of Sales,280,293,,
5468,omission,ORG,Retail Invest AG,66,82,,
5469,boundary,PER,Robert Keller,22,35,PER,Herrn Robert Keller
5469,label,EDU,Hotelfachschule Lausanne,399,423,ORG,Hotelfachschule Lausanne
5469,omission,AGE,68,37,39,,
5469,boundary,PER,Keller,310,316,PER,Herr Keller
5471,boundary,EDU,ETH-Abschluss,395,408,EDU,ETH
5471,omission,PER,Fischer,247,254,,
5474,omission,JOB,Sales Director,257,271,,
5475,boundary,ORG,Innovatec SA,50,62,ORG,SA
5486,boundary,MONEY,CHF 25'000,353,363,MONEY,CHF 25'000.
5486,omission,JOB,Sales Director,315,329,,
5489,boundary,ORG,Graf & Partner Treuhand AG,83,109,ORG,Graf & Partner Treuhand
5489,omission,PER,Graf,218,222,,
5490,label,JOB,CFO,401,404,ORG,CFO
5492,omission,JOB,Prokurist,442,451,,
